,molecule_chembl_id,SMILES,pIC50,ROMol,maccs,morgan,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan
5942,CHEMBL598377,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,8.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x748ec97ffdf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ab4c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9469ee0>,0.6623376623376623,0.796875,0.6301369863013698,0.773109243697479
5946,CHEMBL598610,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCC(=O)NO,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x748ec94fc040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ab680>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946a5e0>,0.6623376623376623,0.796875,0.6301369863013698,0.773109243697479
5972,CHEMBL604485,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)c2cc1OCCCN1CCN(C)CC1,5.481486060122113,<rdkit.Chem.rdchem.Mol object at 0x748ec94fcba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ac270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946d3f0>,0.7162162162162162,0.8346456692913385,0.5176470588235295,0.6821705426356589
5978,CHEMBL604893,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,7.356547323513813,<rdkit.Chem.rdchem.Mol object at 0x748ec94fce40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ac510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946de70>,0.7887323943661971,0.8818897637795275,0.5853658536585366,0.7384615384615385
5980,CHEMBL604992,COc1cc2c(Nc3ccc(-c4nc5ccc(F)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,6.136677139879545,<rdkit.Chem.rdchem.Mol object at 0x748ec94fcf20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ac5f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946e1f0>,0.7887323943661971,0.8818897637795275,0.5421686746987951,0.703125
5988,CHEMBL606466,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)ncnc2cc1OCCCN1CCN(C)CC1,6.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x748ec94fd2a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ac970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946eff0>,0.7162162162162162,0.8346456692913385,0.5176470588235295,0.6821705426356589
5991,CHEMBL60826,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)Cn1ccnc1,8.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x748ec94fd3f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95acac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946f530>,0.803030303030303,0.8907563025210085,0.5569620253164557,0.7154471544715447
5992,CHEMBL608860,CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,6.974694134735231,<rdkit.Chem.rdchem.Mol object at 0x748ec94fd460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95acb30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec946f6f0>,0.7538461538461538,0.8596491228070176,0.7076923076923077,0.8288288288288288
6008,CHEMBL65250,C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x748ec94fdb60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ad230>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9471380>,0.6451612903225806,0.7843137254901961,0.5072463768115942,0.6730769230769231
6191,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,6.288192770958809,<rdkit.Chem.rdchem.Mol object at 0x748ec9502c00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95b22d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9485690>,1.0,1.0,1.0,1.0
6206,CHEMBL95774,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,7.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x748ec9503290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95b2960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94870d0>,0.7971014492753623,0.8870967741935484,0.5056179775280899,0.6716417910447762
6212,CHEMBL99024,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.982966660701219,<rdkit.Chem.rdchem.Mol object at 0x748ec9503530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95b2c00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9487b50>,0.9508196721311475,0.9747899159663865,0.7123287671232876,0.832
