row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row2712;CHEMBL2385977;nM;1000;CCOc1cc(N)c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;6
Row2713;CHEMBL2385978;nM;2000;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.698970004336019
Row2714;CHEMBL2385979;nM;1500;CCOc1cc(N)c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.823908740944319
Row2715;CHEMBL2385980;nM;5500;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;5.259637310505757
Row2716;CHEMBL2385981;nM;5000;CCOc1cc(N)c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;5.301029995663981
Row2717;CHEMBL2385982;nM;6000;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.221848749616357
Row2718;CHEMBL2385983;nM;4500;CCOc1cc(N)c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.346787486224656
Row2719;CHEMBL2385984;nM;5000;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;5.301029995663981
Row2720;CHEMBL2385985;nM;800;CCOc1cc(N)c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;6.096910013008056
Row2721;CHEMBL2385986;nM;1200;CCOc1ccc(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.920818753952375
Row2722;CHEMBL2385987;nM;3500;CCOc1ccc(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;5.455931955649724
Row2723;CHEMBL2385988;nM;6000;CCOc1ccc(C(=O)Nc2nccc(-c3cccnc3)n2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;5.221848749616357
Row2724;CHEMBL2385990;nM;450;Cc1ccc(NC(=O)/C=C/CN(C)C)cc1C(=O)Nc1ccc(OCc2cccc(F)c2)c(Cl)c1;CHEMBL203;6.346787486224656
Row2725;CHEMBL2385991;nM;600;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C(=O)Nc1ccc(OCc2cccc(F)c2)c(Cl)c1;CHEMBL203;6.221848749616356
Row2726;CHEMBL2385992;nM;5000;Cc1ccc(NC(=O)/C=C/CN(C)C)cc1C(=O)Nc1nccc(-c2cccnc2)n1;CHEMBL203;5.301029995663981
Row2727;CHEMBL2385993;nM;6000;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C(=O)Nc1nccc(-c2cccc(F)c2)n1;CHEMBL203;5.221848749616357
Row2731;CHEMBL24026;nM;800;COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1;CHEMBL203;6.096910013008056
Row2732;CHEMBL2403108;nM;900;Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1;CHEMBL203;6.045757490560675
Row2733;CHEMBL2408045;nM;12;CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1;CHEMBL203;7.920818753952375
Row2734;CHEMBL2408823;nM;780;COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(CCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1;CHEMBL203;6.107905397309519
Row2735;CHEMBL2408824;nM;960;COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1;CHEMBL203;6.017728766960432
Row2736;CHEMBL2408825;nM;140;COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1;CHEMBL203;6.853871964321762
Row2737;CHEMBL2408826;nM;250;COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1;CHEMBL203;6.6020599913279625
Row2738;CHEMBL2408827;nM;410;C=CC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4ccc(COc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)cc4)n3)c(OC)c2)CC1;CHEMBL203;6.3872161432802645
Row2739;CHEMBL2408828;nM;19;COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)c2)n1;CHEMBL203;7.721246399047171
Row2740;CHEMBL2408829;nM;68;COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(COc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)c2)n1;CHEMBL203;7.167491087293763
